IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2,70,0,0,47	1,14,1,0,66	2,0,0,0,94,0,0,4,52,53,21,5,9,0,22,3	11,2,4,0,75,0,2,0,53,72,62,12,5,0,20,5	690	149
0,9,0,0,8	0,5,0,0,6	2,0,0,0,6,0,0,0,2,3,0,1,0,2,0,0	0,0,0,0,7,0,2,0,17,10,3,1,0,0,4,2	284	149
0,5,0,0,8	4,25,4,2,84	2,0,0,0,6,0,0,0,2,4,0,1,0,2,0,0	4,6,0,0,84,2,2,5,65,73,53,10,2,0,26,0	284	149
0,4,0,0,0	0,0,0,0,6	2,0,0,0,30,0,0,0,3,3,7,0,0,2,8,0	0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,2	284	149
0,0,0,0,0	0,0,0,0,10	2,0,0,0,30,0,0,0,3,4,7,0,0,2,8,0	1,0,0,0,0,0,0,0,16,16,1,0,0,0,4,1	284	149
1,7,2,0,12	0,0,0,0,1	5,0,2,0,7,0,10,0,24,11,7,3,2,0,16,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	325	149
12,58,9,6,141	0,0,0,0,1	18,10,0,4,123,8,16,12,99,103,118,21,18,4,55,3	0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0	294	149
8,33,5,4,70	0,0,0,0,0	15,4,0,4,39,6,14,7,50,46,67,11,16,4,33,4	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	294	149
1,0,0,0,0	0,0,0,0,1	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0	209	149
1,2,2,0,7	7,33,5,4,62	0,0,2,0,0,0,0,0,2,1,2,0,0,0,12,0	9,4,0,4,39,6,6,7,35,30,66,9,14,4,29,3	209	149
0,670,0,0,820	0,0,0,0,0	10,0,0,1,3836,0,0,19,3098,3490,1531,89,19,0,68,166	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	352	149
3,628,0,0,686	0,0,0,0,0	8,0,0,1,2897,0,0,27,1699,3234,1508,62,6,2,7,115	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	369	149
3,239,4,0,592	0,1,0,0,1	22,4,0,3,1687,0,2,25,2183,2182,991,79,56,0,184,90	0,0,0,0,19,0,0,0,4,1,0,0,0,0,0,3	337	149
0,0,0,0,1	33,94,17,0,301	0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,3	28,9,0,4,715,15,12,11,813,1140,414,32,81,3,119,8	221	149
0,75,0,0,0	0,70,0,0,284	0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,438,0,0,14,1039,1346,437,38,6,0,9,53	258	149
0,69,0,0,237	0,0,0,0,0	2,0,0,0,296,0,0,7,906,1146,367,32,6,0,9,49	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	238	149
0,69,0,0,239	0,0,0,0,0	2,0,0,0,304,0,0,7,901,1160,376,32,6,0,9,50	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	281	149
0,175,0,0,168	0,0,0,0,0	0,0,0,0,828,0,0,4,316,934,460,29,2,0,6,17	0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0	291	149
0,175,0,0,168	0,0,0,0,0	0,0,0,0,828,0,0,4,319,939,466,29,2,0,6,20	0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0	379	149
2,163,0,2,241	0,0,0,0,0	48,0,2,0,613,2,0,33,174,251,482,21,23,0,29,60	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	271	149
5,383,0,3,830	0,0,0,0,0	118,0,2,0,1781,16,6,109,511,913,1241,76,62,6,110,106	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	221	149
0,228,2,0,208	0,1,0,0,0	16,0,0,0,1085,0,0,25,76,283,881,39,12,1,20,58	0,0,0,0,6,0,0,0,3,10,16,0,0,0,0,0	392	149
0,507,2,2,800	0,1,0,0,0	83,0,2,0,2286,12,6,92,453,937,1747,80,49,1,95,149	0,0,0,0,6,0,0,0,3,10,16,0,0,0,0,0	278	149
11,0,0,0,7	0,0,0,0,0	6,0,0,4,0,0,0,0,8,4,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	244	149
0,0,0,0,0	0,15,2,0,135	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	7,0,0,0,10,0,0,9,9,51,23,4,0,0,4,1	251	149
0,19,0,0,147	0,0,0,0,0	0,0,0,0,60,0,0,25,30,94,107,20,0,0,14,25	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	212	149
0,24,2,0,240	0,0,0,0,9	6,0,0,0,28,0,0,32,36,109,77,14,0,0,12,6	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	212	149
