ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
74626	0,0,0,0,0	0,0,0,0,4	0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1	298	149	1
74630	0,22,0,1,0	0,5,0,0,0	0,0,0,0,7,0,0,0,1,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0	298	149	1
74631	0,26,0,1,0	0,19,0,0,2	0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0	0,0,0,0,20,0,0,0,0,2,4,0,2,0,0,0	298	149	1
74632	17,16,6,3,106	0,8,0,0,1	24,1,4,2,61,4,12,11,86,72,38,1,15,7,71,3	0,0,0,0,0,0,0,0,8,1,0,0,0,0,18,0	219	149	1
74633	0,0,0,0,3	0,16,3,0,72	0,0,0,0,0,0,2,0,7,1,0,0,2,0,0,0	10,0,0,0,8,2,2,6,74,58,30,1,8,0,39,1	298	149	1
74635	2,40,0,0,133	0,0,0,0,0	13,2,0,0,121,2,2,6,142,123,130,16,17,0,55,6	0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0	295	149	1
74636	2,16,0,0,66	0,0,0,0,0	3,0,0,0,98,2,0,4,69,70,66,8,0,0,33,1	0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0	298	149	1
74637	0,0,0,0,4	0,0,2,0,0	0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0	1,0,0,0,2,0,0,0,9,8,10,0,0,0,2,0	217	149	1
74638	0,0,0,0,1	0,6,0,0,23	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0	0,0,0,0,52,0,2,0,13,36,32,1,4,0,0,2	217	149	1
74639	5,605,15,4,699	0,0,0,0,1	23,0,0,0,160,7,0,7,109,210,286,12,21,5,106,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1
74640	72,784,71,73,1134	0,0,0,0,2	25,7,2,1,453,16,12,32,188,457,403,24,34,16,93,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1
74642	79,579,75,83,756	0,0,0,0,2	34,7,4,1,208,18,12,22,108,342,275,24,46,18,90,16	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	270	149	1
74643	16,113,14,22,340	0,0,0,0,0	251,18,7,4,396,9,20,92,202,188,379,54,49,22,452,93	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	298	149	1
74644	3,65,2,0,108	0,0,0,0,0	25,9,1,9,145,5,20,30,119,233,291,44,55,7,164,76	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	284	149	1
74645	0,0,0,0,2	0,27,0,0,34	0,0,0,0,0,0,0,2,0,6,19,0,0,0,0,0	0,0,0,0,39,0,0,17,31,103,74,12,0,0,4,17	298	149	1
74646	865,179,279,904,4105	2,0,0,0,0	351,305,137,82,1041,302,118,511,542,1527,1376,196,764,579,2233,114	0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0	249	149	1
74647	964,191,266,879,3727	3,0,0,11,28	331,293,151,117,968,289,126,452,502,1412,1333,173,666,537,2075,117	8,2,0,0,0,4,2,7,1,8,22,0,9,5,17,0	194	149	0.770872645008
74648	354,339,227,318,4012	0,0,0,0,0	372,166,49,48,1152,314,236,546,864,1744,1813,201,522,248,1983,52	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	237	149	1
74649	556,578,265,406,5300	0,12,0,0,1	507,196,53,72,1604,325,218,796,975,2261,2819,285,665,318,3464,70	0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0	298	149	0.827982328978
74650	806,564,280,617,2066	3,6,1,4,28	283,246,134,90,1162,406,213,406,382,807,1558,160,602,390,1814,112	3,0,0,0,0,6,0,2,3,9,32,2,0,9,9,0	298	149	0.347896737354
74651	1532,923,619,1370,4030	0,0,0,0,1	598,524,243,216,1662,831,483,810,717,1582,2600,301,1139,838,3119,170	0,0,0,0,4,0,0,0,3,1,0,0,6,0,0,0	271	149	1
74652	544,239,232,528,1425	1,2,0,0,2	252,186,75,90,550,313,176,321,241,558,795,115,435,334,1053,35	0,0,0,0,0,2,0,1,1,0,2,0,3,0,0,0	229	149	1
74653	2247,609,523,1552,3193	0,0,0,0,1	484,541,522,557,977,632,357,495,493,1172,1509,200,947,1069,1832,194	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	197	149	1
74654	873,369,160,675,2219	0,0,0,0,0	160,289,280,268,507,177,109,236,346,771,720,92,339,480,897,37	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0	237	149	1
74655	2770,811,531,1891,4812	4,0,2,0,4	533,721,735,705,1355,647,341,577,725,1666,1756,239,1059,1353,2244,208	2,2,0,0,0,0,0,0,0,1,1,1,11,8,0,0	237	149	1
74656	8,0,2,0,0	0,0,0,0,0	0,0,1,0,0,0,0,0,1,1,0,0,1,4,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	224	149	1
74657	1123,2447,379,803,7175	8,0,2,0,2	526,402,216,250,2274,380,181,804,1151,2659,3071,301,924,656,2944,229	0,0,1,0,0,2,0,0,2,1,2,0,1,2,0,0	298	149	1
74658	93,2,107,224,270	0,0,0,0,0	149,54,11,36,0,76,36,94,82,218,30,39,109,71,478,54	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	224	149	1
74659	56,0,54,117,92	0,0,0,0,0	54,37,3,19,0,48,19,28,31,83,15,20,62,35,173,16	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	224	149	1
74660	8,0,7,14,6	0,0,0,0,0	0,3,0,6,50,2,3,3,6,4,0,3,3,2,2,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	298	149	1
74661	47,2,61,122,190	2,0,0,1,1	97,20,8,23,50,30,20,71,57,148,17,23,50,38,307,39	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1
74662	421,0,164,677,268	8,0,7,14,6	188,167,208,141,17,59,61,71,54,208,17,29,134,170,504,8	0,3,0,6,50,2,3,3,6,3,0,3,3,2,2,0	258	149	1
