IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,68,0,0,0	0,178,0,0,0	0,0,0,0,69,0,0,0,0,0,19,0,0,0,14,14	0,0,0,0,279,0,0,0,0,2,482,0,0,0,24,21	267	149
0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,175,0,0,0,38,11	215	149
0,11,0,0,0	0,5,0,0,0	0,0,0,0,117,0,0,0,0,0,51,0,0,0,7,8	0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0	155	149
0,0,0,0,0	0,181,4,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,1176,0,4,5,2,2,756,0,0,0,894,105	220	149
0,2,0,0,0	0,25,0,0,0	0,0,0,0,66,0,0,0,0,0,2,0,0,0,1,1	0,0,0,0,88,0,0,0,0,0,89,0,0,0,8,12	200	149
0,10,0,0,0	0,103,0,0,0	0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0	0,0,0,0,337,0,0,0,0,0,117,0,0,0,2,0	153	149
0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3	0,0,0,0,33,0,0,2,0,0,18,0,0,0,16,1	381	149
0,3,0,0,0	0,0,0,0,0	0,0,0,0,25,0,0,2,0,0,13,0,0,0,17,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	153	149
0,19,0,0,0	0,0,0,0,0	0,0,0,0,49,0,0,0,0,0,45,0,0,0,40,5	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	273	149
0,0,0,0,0	0,58,0,0,0	0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,25,0,0,0,0,0,33,0,0,0,17,4	177	149
0,0,0,0,0	0,20,0,0,0	0,0,0,0,8,0,0,0,0,0,13,0,0,0,16,5	0,0,0,0,96,0,0,0,0,0,57,0,0,0,74,3	316	149
0,0,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,5	0,0,0,0,96,0,0,0,0,0,57,0,0,0,74,3	317	149
0,125,0,0,0	0,0,0,0,0	0,0,0,0,295,0,0,0,0,0,572,0,0,0,55,18	0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0	230	149
0,0,0,0,0	0,11,0,0,0	0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,2	0,0,0,0,39,0,0,0,0,0,75,0,0,0,0,13	196	149
0,11,0,0,0	0,77,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,18,0,0,0,0,2,75,0,0,0,34,0	164	149
0,548,8,0,2	0,26,0,0,0	0,0,0,0,2958,16,2,8,6,2,959,0,0,0,1499,287	0,0,0,0,40,0,0,0,0,0,17,0,0,0,7,0	2962	149
0,177,0,0,0	0,5,0,0,0	0,0,0,0,349,0,0,4,4,0,138,0,0,0,111,22	0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0	204	149
0,9,0,0,0	0,57,0,0,0	0,0,0,0,90,0,0,0,0,0,11,0,0,0,23,10	0,0,0,0,64,0,0,0,4,0,22,0,0,0,39,4	154	149
0,22,0,0,0	0,4,0,0,0	0,0,0,0,12,0,0,2,0,0,15,0,0,0,3,2	0,0,0,0,18,0,0,0,0,0,10,0,0,0,6,2	154	149
0,7,0,0,0	0,13,0,0,0	0,0,0,0,0,0,0,0,0,0,15,0,0,0,25,0	0,0,0,0,12,0,0,0,0,0,20,0,0,0,13,1	240	149
0,22,0,0,2	0,0,0,0,0	0,0,0,0,98,0,0,0,0,0,88,0,0,0,34,29	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0	236	149
0,2,0,0,0	0,13,0,0,0	0,0,0,0,49,0,0,0,0,0,2,0,0,0,0,2	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1	153	149
0,2,0,0,0	0,0,0,0,0	0,0,0,0,19,0,0,0,0,0,2,0,0,0,5,3	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4	156	149
0,189,0,0,0	0,0,0,0,0	0,0,0,0,572,4,0,0,0,0,91,0,0,0,195,94	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	1203	149
0,123,0,0,0	0,79,0,0,0	0,0,0,0,39,0,0,0,0,0,86,0,0,0,0,3	0,0,0,0,22,0,0,0,0,0,53,0,0,0,0,1	208	149
0,16,0,0,0	0,36,0,0,0	0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10	0,0,0,0,58,0,0,0,0,0,0,0,0,0,5,0	159	149
0,43,0,0,0	0,0,0,0,0	0,0,0,0,58,0,0,0,0,0,15,0,0,0,0,2	0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0	208	149
0,4,0,0,0	0,47,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,4	165	149
0,34,0,0,0	0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,16,0,0,0,12,28	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4	211	149
0,68,0,0,0	0,3,0,0,0	0,0,0,0,340,0,0,0,0,0,84,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	227	149
0,73,0,0,0	0,0,0,0,0	0,0,0,0,402,0,0,0,0,0,150,0,0,0,185,74	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	799	149
0,0,0,0,0	0,29,0,0,0	0,0,0,0,0,0,3,0,0,0,21,0,0,0,21,0	0,0,0,0,121,0,0,0,0,0,227,0,0,0,163,12	184	149
0,54,0,0,0	0,0,0,0,0	0,0,0,0,187,0,0,0,0,0,60,0,0,0,154,24	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0	2503	149
0,0,0,0,0	0,4,0,0,0	0,0,0,0,30,0,0,0,0,0,16,0,0,0,2,6	0,0,0,0,0,0,0,0,0,0,14,0,0,0,27,24	327	149
0,0,0,0,0	0,2,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0	154	149
0,10,0,0,0	0,13,0,0,0	0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0	0,0,0,0,49,0,0,0,0,0,29,0,0,0,11,1	210	149
0,21027,0,0,4	0,2,0,0,0	0,0,0,0,28797,0,0,4,4,6,26719,0,0,0,970,473	0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6	168	149
0,6,0,0,0	0,53,0,0,0	0,0,0,0,36,0,0,0,0,0,39,0,0,0,0,1	0,0,0,0,65,0,0,0,0,0,275,0,0,0,5,21	431	149
0,0,0,0,0	0,13,0,0,0	0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,38,0,0,0,0,0,56,0,0,0,1,1	169	149
0,40,0,0,0	0,6,0,0,0	0,0,0,0,343,0,0,0,0,2,19,0,0,0,0,1	0,0,0,0,448,0,0,0,0,0,148,0,0,0,54,4	365	149
0,0,0,0,0	0,23,0,0,0	0,0,0,0,27,0,0,0,0,0,6,0,0,0,0,1	0,0,0,0,358,0,0,0,0,0,165,0,0,0,35,1	328	149
0,0,0,0,0	0,4,0,0,0	0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,1	0,0,0,0,134,0,0,0,0,0,31,0,0,0,7,0	328	149
