ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3646	304,10,129,164,454	0,0,0,0,0	19,100,72,101,142,252,144,24,1179,809,145,59,168,132,167,15	0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0	2884	149	1	1.0
3649	53,17,14,47,300	0,0,0,0,0	2,56,15,15,235,33,18,12,665,522,80,27,54,31,172,17	0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0	277	149	1	1.0
3650	112,0,90,96,131	0,0,0,0,2	318,46,94,144,104,124,82,147,142,154,63,60,147,64,230,37	8,0,0,0,20,0,0,0,2,6,5,0,0,0,0,0	3023	149	1	1.0
3652	0,0,0,1,0	0,0,2,0,0	6,0,2,2,0,4,4,0,6,1,0,0,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	260	149	1	1.0
3653	304,27,91,380,641	0,0,0,0,0	483,56,53,53,79,42,22,411,75,344,728,80,271,293,620,40	0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0	194	149	1	1.0
3655	0,0,1,1,2	6,6,9,4,65	0,0,0,0,38,0,0,0,1,0,12,0,0,0,0,0	6,3,1,3,95,0,2,6,26,45,96,6,12,0,243,4	169	149	1	1.0
3656	18,0,4,4,29	20,0,0,8,27	0,38,43,30,33,17,8,4,9,29,13,1,51,16,52,9	0,34,31,29,61,20,32,5,13,67,11,1,34,23,53,6	152	149	1	1.0
3657	2,6,5,0,22	0,16,2,2,40	4,0,0,0,55,0,2,2,26,28,80,1,4,1,19,14	35,8,0,0,52,2,2,13,26,72,189,6,17,1,378,53	184	149	1	1.0
3658	2,12,5,0,33	4,154,4,2,338	3,0,0,0,108,0,2,3,39,43,102,1,6,1,25,13	36,2,0,0,618,4,8,22,411,535,997,43,18,0,131,81	184	149	1	1.0
3659	0,7,0,0,0	2,4,4,1,18	0,0,0,0,18,0,0,0,13,6,0,0,0,0,0,0	4,2,0,0,81,0,0,0,75,79,10,0,6,0,0,0	196	149	1	1.0
3660	12,0,2,16,15	233,9,85,200,185	11,8,17,11,3,11,3,2,19,3,2,2,5,8,70,3	112,249,301,263,182,146,47,75,145,214,146,51,147,199,926,39	304	149	0.448795938917	1.0
3662	4,0,3,1,3	0,0,0,1,0	0,2,6,0,0,2,0,0,0,1,4,0,2,1,4,1	2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0	168	149	1	1.0
3663	58,8,55,66,312	0,0,2,0,1	66,18,14,16,95,81,100,94,527,280,91,29,64,30,244,98	0,0,0,0,0,0,0,0,1,6,3,0,4,0,0,0	182	149	1	1.0
3664	58,14,56,76,326	9,0,2,3,19	70,19,14,16,109,86,101,107,548,286,103,31,64,30,247,98	5,0,0,2,0,7,12,8,47,23,12,7,6,1,15,12	191	149	0.205107508865	1.0
