IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
113	4	24,26,41,20	0,0,0,0	298	149
113	0	24,26,41,20	1,0,0,2	298	149
5	4	18,0,6,0	0,0,0,0	216	149
2	13	0,0,0,0	21,8,8,3	232	149
2	13	0,0,0,0	21,8,8,3	202	149
4	0	0,0,0,0	1,0,0,2	210	149
1	0	1,1,0,0	2,0,0,0	298	149
0	20	0,2,0,0	54,15,0,2	298	149
155	15	214,112,52,58	2,3,0,0	298	149
16	10	57,14,2,0	3,2,7,3	232	149
0	9	6,0,2,0	50,3,2,0	298	149
0	9	7,0,0,2	50,3,2,0	298	149
64	0	9,12,8,16	0,0,2,0	298	149
0	2	4,0,0,0	0,0,2,0	198	149
3	2	5,0,0,0	0,0,2,0	214	149
0	2	6,3,0,0	1,4,0,0	298	149
33	0	22,24,19,11	0,0,0,4	268	149
2	267	3,1,0,0	210,152,52,47	298	149
1224	3	856,454,217,283	0,1,0,0	291	149
734	6	322,248,112,123	0,0,0,0	198	149
1375	26	652,564,228,175	2,2,3,0	229	149
1098	16	820,465,214,217	4,4,2,2	230	149
0	905	2,0,0,0	523,381,185,188	271	149
6	0	132,5,2,1	2,0,0,0	298	149
8	0	231,5,3,3	2,0,0,0	298	149
13	19	28,6,7,5	4,8,7,8	264	149
29	6	49,18,14,7	0,0,0,0	272	149
69	2	5,15,24,13	0,0,0,0	219	149
74	0	34,26,12,6	2,2,0,0	233	149
17	0	16,2,4,1	2,2,0,0	214	149
7	0	16,1,0,2	2,0,0,0	258	149
2	2	18,6,0,2	0,0,0,0	298	149
19	4	2,2,4,10	0,0,0,4	298	149
9	2	0,2,5,0	0,0,0,0	221	149
0	85	0,2,0,0	76,37,22,7	241	149
0	5	2,0,0,0	3,0,0,2	222	149
7	1	37,2,2,0	0,1,0,0	298	149
24	2	80,0,0,0	0,0,2,0	262	149
36	25	16,7,10,7	45,14,8,11	274	149
17	29	5,6,3,5	12,15,3,2	274	149
65	0	39,15,19,13	4,0,0,3	236	149
155	2	67,24,34,37	0,0,0,0	232	149
6	7	3,0,0,0	15,1,0,0	176	149
15	0	23,6,10,9	1,0,0,0	210	149
72	0	112,40,25,38	1,0,0,0	279	149
4	0	44,2,3,0	1,0,0,0	298	149
4	2	9,2,0,0	28,2,3,0	273	149
2	0	26,2,3,0	1,0,0,0	247	149
1	0	3,0,0,0	13,0,0,0	223	149
51	0	133,47,31,43	2,0,0,0	275	149
90	0	133,58,49,79	1,0,0,0	272	149
71	0	52,34,17,29	2,0,0,0	298	149
6	1	16,0,0,0	9,3,0,0	194	149
6	1	4,0,0,0	9,3,0,0	209	149
103	3	238,86,16,19	2,0,0,0	298	149
53	4	65,16,23,16	0,0,0,0	187	149
50	4	65,14,23,16	0,0,0,0	184	149
193	0	225,92,83,102	2,0,0,0	298	149
7	6	12,8,0,2	0,0,3,0	246	149
12	5	20,11,16,10	0,4,0,0	239	149
8	0	16,10,12,4	0,1,0,0	239	149
13	5	20,13,13,4	0,4,0,0	244	149
217	6	54,89,91,99	4,1,7,6	294	149
49	0	9,25,13,30	0,0,2,0	294	149
177	5	48,75,81,76	4,3,3,0	294	149
68	0	19,39,49,22	0,1,0,0	197	149
69	0	23,36,56,28	0,0,2,0	197	149
231	0	64,105,128,94	0,6,1,3	197	149
43	1	23,28,32,23	0,2,0,0	236	149
50	4	10,11,9,13	2,6,11,6	211	149
18	0	10,1,5,8	0,0,0,2	240	149
39	0	16,16,15,18	0,1,0,2	240	149
2	21	4,0,0,0	6,15,10,12	263	149
4	12	4,0,0,0	14,0,1,4	278	149
4	12	2,0,0,0	14,0,1,4	242	149
0	29	1,0,0,0	7,4,6,0	298	149
36	0	9,8,6,0	2,6,0,2	298	149
10	2	2,5,2,0	0,0,0,0	229	149
8	6	4,0,4,0	1,5,2,0	298	149
0	2	2,0,0,0	0,0,0,0	298	149
0	1	7,8,0,0	0,0,0,0	298	149
0	1	4,2,0,0	0,0,0,0	298	149
8	0	5,2,0,2	5,2,0,0	298	149
15	0	8,3,2,2	1,0,0,0	298	149
1	0	4,3,1,0	0,0,2,0	298	149
7	0	2,0,0,0	0,2,0,4	241	149
7	15	2,0,0,0	3,1,2,2	241	149
1	15	4,3,1,0	3,1,2,2	298	149
120	5	71,47,32,49	0,1,0,0	298	149
2	2	4,1,0,0	17,0,0,0	203	149
0	16	2,0,0,0	18,8,5,2	225	149
6	16	3,8,0,2	18,8,5,2	298	149
0	2	1,0,0,0	4,0,0,0	277	149
44	4	10,16,24,58	2,2,0,0	223	149
108	0	35,40,39,53	3,0,0,1	201	149
20	0	16,17,9,31	1,0,0,0	201	149
97	0	26,31,27,29	1,0,0,0	241	149
180	0	43,58,58,52	0,4,0,2	241	149
158	2	47,61,60,69	0,0,0,0	249	149
2	18	2,4,0,0	18,6,0,4	298	149
96	1	83,59,34,77	0,0,0,0	286	149
2	0	39,0,0,0	7,0,0,0	221	149
2	0	54,0,0,0	7,0,0,0	218	149
56	0	126,10,0,8	3,0,0,0	298	149
68	4	213,13,0,8	0,4,0,0	298	149
3	6	2,0,0,0	0,0,0,0	298	149
14	0	0,0,0,0	2,0,0,0	277	149
37	4	15,5,6,7	10,0,0,0	253	149
0	59	4,0,0,0	28,19,5,13	287	149
124	10	76,75,34,49	4,1,6,0	298	149
186	0	93,73,16,34	2,0,0,0	298	149
46	2	59,19,3,6	0,0,0,0	233	149
69	2	98,34,10,8	0,0,0,0	298	149
125	1	65,50,25,13	0,0,0,0	266	149
4	0	53,5,2,0	1,0,0,0	284	149
13	0	66,0,2,4	1,0,0,0	298	149
4	0	57,0,0,2	4,0,0,0	298	149
2	2	16,0,0,2	4,4,0,0	265	149
58	2	45,12,10,24	0,0,0,0	261	149
151	2	66,59,49,72	0,0,0,0	264	149
462	2	129,275,152,128	0,8,2,2	245	149
25	4	41,10,7,2	0,0,0,0	229	149
0	2	2,0,0,0	10,0,0,0	267	149
4	0	34,10,14,20	1,0,0,0	287	149
1	0	26,2,2,0	1,0,0,0	200	149
2	0	10,1,3,16	0,2,0,0	298	149
6	0	6,27,1,8	2,0,0,0	263	149
0	3	1,0,0,0	4,3,0,2	212	149
9	0	71,4,0,2	3,0,0,0	296	149
3	0	3,0,0,0	14,0,0,0	200	149
16	0	57,0,0,0	0,2,0,0	298	149
631	4	326,287,233,273	0,1,0,1	239	149
413	0	247,152,174,179	0,2,1,0	215	149
2	7	0,0,0,0	2,0,0,0	233	149
2	78	0,0,0,0	21,27,13,31	185	149
3	2	2,1,1,2	0,0,0,0	298	149
8	3	19,6,2,9	2,1,1,2	292	149
180	2	36,431,269,149	0,3,0,6	298	149
12	0	146,2,2,0	4,0,0,0	280	149
52	0	118,0,0,0	2,0,0,0	298	149
0	2	0,0,1,0	0,0,0,0	247	149
2	2	0,0,0,0	0,4,4,0	298	149
4	2	2,0,0,0	2,2,0,0	220	149
1	0	0,12,3,2	1,0,0,0	188	149
2	5	3,0,2,1	2,11,2,9	298	149
0	5	5,0,9,19	2,11,4,2	298	149
0	5	3,0,8,16	2,11,4,2	298	149
0	10	0,1,0,0	2,4,6,11	272	149
0	10	0,1,0,0	2,4,6,11	263	149
0	10	0,1,0,0	2,4,6,11	248	149
10	4	2,4,6,11	2,0,2,0	276	149
4	0	0,0,3,4	0,0,0,2	188	149
2	0	0,0,0,0	1,0,0,0	190	149
10	2	17,4,2,1	0,0,0,0	276	149
0	2	19,1,0,0	0,0,0,0	276	149
