ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
29806	0,739,6,0,0	0,130,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0	298	149	1	1.0
29807	0,882,2,0,0	0,83,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0	219	149	1	1.0
29809	0,438,6,0,0	0,25,2,0,0	0,0,0,0,2572,13,0,3,0,2,2932,0,0,0,1928,167	0,0,0,0,135,0,0,0,0,2,179,0,0,0,274,7	206	149	1	1.0
29811	0,37,0,0,2	0,8,0,0,0	0,0,0,0,96,0,0,0,0,0,74,0,0,0,143,11	0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1	276	149	1	1.0
29812	0,23,0,0,0	0,0,0,0,0	0,0,0,0,43,2,0,0,0,0,59,0,0,0,170,52	0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,1	298	149	1	1.0
29813	0,23,0,0,0	0,0,0,0,0	0,0,0,0,18,2,0,2,0,0,49,0,0,0,131,63	0,0,0,0,7,0,0,0,0,0,3,0,0,0,1,4	298	149	1	1.0
29817	0,12,0,0,0	0,0,0,0,0	0,0,0,0,22,0,0,0,0,0,50,0,0,0,6,24	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	290	149	1	1.0
29819	0,4,0,0,2	0,0,0,0,0	0,0,0,0,101,4,6,0,2,0,112,0,0,0,743,141	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	233	149	1	1.0
29820	0,1,0,0,0	0,3,0,0,0	0,0,0,0,101,0,0,0,0,0,104,0,0,0,106,52	0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0	195	149	1	1.0
29826	0,6,0,0,0	0,0,0,0,0	0,0,0,0,23,0,0,0,0,0,55,0,0,0,16,3	0,0,0,0,36,0,0,0,0,0,101,0,0,0,14,4	218	149	1	1.0
29827	0,6,0,0,0	0,0,0,0,0	0,0,0,0,16,0,0,0,0,0,26,0,0,0,6,3	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	218	149	1	1.0
29828	0,20,0,0,0	0,0,0,0,0	0,0,0,0,86,0,0,0,0,0,164,0,0,0,18,4	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	251	149	1	1.0
29829	0,22,0,0,0	0,0,0,0,0	0,0,0,0,57,0,0,0,0,0,93,0,0,0,11,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	251	149	1	1.0
29830	0,5,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,3	0,0,0,0,50,0,0,0,0,0,108,0,0,0,4,0	293	149	1	1.0
29831	0,5,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,3	0,0,0,0,50,0,0,0,0,0,108,0,0,0,4,0	290	149	1	1.0
29833	0,0,0,0,0	0,17,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0	0,0,0,0,10,0,0,1,0,0,50,0,0,0,6,3	200	149	1	1.0
29834	0,0,0,0,0	0,6,0,0,0	0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0	0,0,0,0,21,0,0,0,0,0,12,0,0,0,0,0	200	149	1	1.0
29835	0,0,0,0,0	0,17,0,0,0	0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3	0,0,0,0,10,0,0,1,0,0,50,0,0,0,6,3	222	149	1	1.0
29836	0,0,0,0,0	0,6,0,0,0	0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0	0,0,0,0,21,0,0,0,0,0,12,0,0,0,0,0	222	149	1	1.0
29839	0,19,0,0,0	0,6,0,0,0	0,0,0,0,10,0,0,0,0,0,69,0,0,0,6,1	0,0,0,0,21,0,0,0,0,0,12,0,0,0,0,0	222	149	1	1.0
29840	0,2,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0	222	149	1	1.0
29842	0,2,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,3	0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0	222	149	1	1.0
29846	0,16,0,0,0	0,0,0,0,0	0,0,0,0,34,0,0,0,0,0,38,0,0,0,89,18	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	230	149	1	1.0
29847	0,21,2,0,2	0,2,0,0,0	0,0,0,0,6,0,0,2,0,0,57,0,0,0,80,12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	215	149	1	1.0
29849	0,53,0,0,0	0,0,0,0,0	0,0,0,0,75,0,0,2,0,0,44,0,0,0,68,15	0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0	190	149	1	1.0
29850	0,64,0,0,0	0,0,0,0,0	0,0,0,0,18,0,0,0,0,0,75,0,0,0,237,9	0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,0	246	149	1	1.0
29851	0,56,0,0,0	0,0,0,0,0	0,0,0,0,12,0,0,0,0,0,87,0,0,0,248,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	237	149	1	1.0
29853	0,7,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	253	149	1	1.0
29854	0,17,0,0,0	0,0,0,0,0	0,0,0,0,5,0,0,0,0,0,39,0,0,0,41,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0	270	149	1	1.0
29855	0,37,0,0,0	0,0,0,0,0	0,0,0,0,14,0,0,0,0,0,59,0,0,0,78,0	0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0	270	149	1	1.0
29868	0,8,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0
29869	0,13,0,0,0	0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0	0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0	298	149	1	1.0
29874	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0	0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0	272	149	1	1.0
29879	0,4,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0	272	149	1	1.0
29880	0,4,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	272	149	1	1.0
29882	0,0,0,0,0	0,5,0,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0	272	149	1	1.0
29885	0,14,0,0,0	0,0,0,0,0	0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	298	149	1	1.0
29886	0,14,0,0,0	0,5,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0	298	149	1	1.0
29887	0,14,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0	269	149	1	1.0
29889	0,140,0,0,0	0,0,0,0,0	0,0,0,0,371,0,0,0,0,0,759,0,0,0,41,2	0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0	298	149	1	1.0
29890	0,148,0,0,0	0,2,0,0,0	0,0,0,0,518,0,0,0,0,0,714,0,0,0,52,16	0,0,0,0,91,0,0,0,0,0,11,0,0,0,0,0	278	149	1	1.0
29891	0,288,0,0,0	0,5,0,0,0	0,0,0,0,872,0,0,0,0,0,1473,0,0,0,93,18	0,0,0,0,33,0,0,0,0,0,103,0,0,0,38,6	278	149	1	1.0
29892	0,146,0,0,0	0,5,0,0,0	0,0,0,0,485,0,0,0,0,0,691,0,0,0,47,16	0,0,0,0,33,0,0,0,0,0,103,0,0,0,38,6	271	149	1	1.0
29893	0,426,0,0,0	0,0,0,0,0	0,0,0,0,1065,0,0,3,0,0,1459,0,0,0,254,26	0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0	280	149	1	1.0
29894	0,177,0,0,0	0,10,0,0,0	0,0,0,0,500,0,0,3,0,0,699,0,0,0,97,17	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	280	149	1	1.0
29895	0,349,0,0,2	0,10,0,0,0	0,0,0,0,847,0,0,0,0,0,1033,0,0,0,159,22	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	298	149	1	1.0
